Date;Package Name;Acquisition Channel;Store Listing Visitors;Installers;Visitor-to-Installer conversion rate;Installers retained for 1 day;Installer-to-1 day retention rate;Installers retained for 7 days;Installer-to-7 days retention rate;Installers retained for 15 days;Installer-to-15 days retention rate;Installers retained for 30 days;Installer-to-30 days retention rate
01/08/2019;B4 Bank;Organic;1628;414;0.254;359;0.867;344;0.831;335;0.809;330;0.797
01/08/2019;B4 Bank;Third-party referrers;514;46;0.089;38;0.826;35;0.761;32;0.696;30;0.652
01/08/2019;B4 Bank;Other;113;23;0.204;17;0.739;17;0.739;14;0.609;13;0.565
02/08/2019;B4 Bank;Organic;1610;407;0.253;354;0.870;338;0.830;330;0.811;322;0.791
02/08/2019;B4 Bank;Tracked channels (UTM);55;10;0.182;10;1.000;10;1.000;9;0.900;8;0.800
02/08/2019;B4 Bank;Third-party referrers;368;48;0.130;40;0.833;32;0.667;32;0.667;32;0.667
02/08/2019;B4 Bank;Other;85;20;0.235;20;1.000;20;1.000;20;1.000;19;0.950
03/08/2019;B4 Bank;Organic;1725;401;0.232;360;0.898;348;0.868;348;0.868;340;0.848
03/08/2019;B4 Bank;Tracked channels (UTM);51;15;0.294;10;0.667;9;0.600;7;0.467;6;0.400
03/08/2019;B4 Bank;Third-party referrers;398;50;0.126;40;0.800;37;0.740;37;0.740;36;0.720
03/08/2019;B4 Bank;Other;79;14;0.177;14;1.000;14;1.000;14;1.000;14;1.000
04/08/2019;B4 Bank;Organic;1579;410;0.260;365;0.890;350;0.854;341;0.832;330;0.805
04/08/2019;B4 Bank;Tracked channels (UTM);52;15;0.288;9;0.600;7;0.467;7;0.467;7;0.467
04/08/2019;B4 Bank;Third-party referrers;309;44;0.142;37;0.841;34;0.773;34;0.773;33;0.750
04/08/2019;B4 Bank;Other;71;15;0.211;15;1.000;15;1.000;15;1.000;14;0.933
05/08/2019;B4 Bank;Organic;1488;374;0.251;334;0.893;323;0.864;317;0.848;303;0.810
05/08/2019;B4 Bank;Third-party referrers;418;44;0.105;39;0.886;37;0.841;36;0.818;31;0.705
05/08/2019;B4 Bank;Other;105;33;0.314;21;0.636;21;0.636;21;0.636;19;0.576
06/08/2019;B4 Bank;Organic;1020;244;0.239;217;0.889;200;0.820;193;0.791;188;0.770
06/08/2019;B4 Bank;Third-party referrers;191;35;0.183;28;0.800;27;0.771;26;0.743;25;0.714
06/08/2019;B4 Bank;Other;74;17;0.230;11;0.647;11;0.647;10;0.588;10;0.588
07/08/2019;B4 Bank;Organic;757;171;0.226;142;0.830;138;0.807;132;0.772;127;0.743
07/08/2019;B4 Bank;Third-party referrers;124;18;0.145;12;0.667;10;0.556;10;0.556;9;0.500
07/08/2019;B4 Bank;Other;61;12;0.197;10;0.833;9;0.750;8;0.667;8;0.667
08/08/2019;B4 Bank;Organic;1310;362;0.276;314;0.867;303;0.837;296;0.818;289;0.798
08/08/2019;B4 Bank;Tracked channels (UTM);52;14;0.269;12;0.857;9;0.643;7;0.500;6;0.429
08/08/2019;B4 Bank;Third-party referrers;450;65;0.144;52;0.800;46;0.708;44;0.677;42;0.646
08/08/2019;B4 Bank;Other;57;15;0.263;14;0.933;14;0.933;14;0.933;14;0.933
09/08/2019;B4 Bank;Organic;1017;237;0.233;211;0.890;201;0.848;199;0.840;194;0.819
09/08/2019;B4 Bank;Tracked channels (UTM);58;13;0.224;8;0.615;6;0.462;6;0.462;6;0.462
09/08/2019;B4 Bank;Third-party referrers;329;33;0.100;22;0.667;19;0.576;19;0.576;19;0.576
09/08/2019;B4 Bank;Other;68;13;0.191;13;1.000;13;1.000;12;0.923;11;0.846
10/08/2019;B4 Bank;Organic;1345;340;0.253;309;0.909;293;0.862;289;0.850;280;0.824
10/08/2019;B4 Bank;Third-party referrers;391;49;0.125;41;0.837;33;0.673;31;0.633;29;0.592
10/08/2019;B4 Bank;Other;92;18;0.196;15;0.833;14;0.778;14;0.778;13;0.722
11/08/2019;B4 Bank;Organic;1428;403;0.282;363;0.901;339;0.841;335;0.831;327;0.811
11/08/2019;B4 Bank;Tracked channels (UTM);62;15;0.242;11;0.733;10;0.667;10;0.667;10;0.667
11/08/2019;B4 Bank;Third-party referrers;407;51;0.125;42;0.824;37;0.725;36;0.706;34;0.667
12/08/2019;B4 Bank;Organic;1204;344;0.286;306;0.890;300;0.872;294;0.855;289;0.840
12/08/2019;B4 Bank;Third-party referrers;353;36;0.102;27;0.750;26;0.722;23;0.639;21;0.583
12/08/2019;B4 Bank;Other;108;27;0.250;24;0.889;24;0.889;23;0.852;20;0.741
13/08/2019;B4 Bank;Organic;825;185;0.224;162;0.876;150;0.811;146;0.789;141;0.762
13/08/2019;B4 Bank;Third-party referrers;160;18;0.113;17;0.944;15;0.833;15;0.833;14;0.778
13/08/2019;B4 Bank;Other;59;16;0.271;15;0.938;15;0.938;15;0.938;15;0.938
14/08/2019;B4 Bank;Organic;785;155;0.197;131;0.845;124;0.800;117;0.755;113;0.729
14/08/2019;B4 Bank;Third-party referrers;172;21;0.122;14;0.667;13;0.619;10;0.476;10;0.476
14/08/2019;B4 Bank;Other;52;10;0.192;6;0.600;5;0.500;5;0.500;5;0.500
15/08/2019;B4 Bank;Organic;1323;327;0.247;298;0.911;279;0.853;272;0.832;266;0.813
15/08/2019;B4 Bank;Third-party referrers;416;44;0.106;34;0.773;33;0.750;32;0.727;29;0.659
15/08/2019;B4 Bank;Other;97;26;0.268;23;0.885;21;0.808;20;0.769;19;0.731
16/08/2019;B4 Bank;Organic;1265;316;0.250;281;0.889;271;0.858;266;0.842;261;0.826
16/08/2019;B4 Bank;Tracked channels (UTM);51;12;0.235;11;0.917;10;0.833;10;0.833;10;0.833
16/08/2019;B4 Bank;Third-party referrers;353;57;0.161;46;0.807;42;0.737;41;0.719;38;0.667
16/08/2019;B4 Bank;Other;54;11;0.204;9;0.818;9;0.818;9;0.818;8;0.727
17/08/2019;B4 Bank;Organic;1180;314;0.266;269;0.857;254;0.809;250;0.796;245;0.780
